segment	mean_coverage	median_coverage	0x	1-25x	25-100x	100-1000x	1000x+	sample_id	total_coverage
np	455.0798722044729	427.0	0.0	1.0	20.0	1544.0	0.0	c12-replicate-2	1565.0
ns	3117.5483146067418	3354.0	0.0	0.0	0.0	43.0	847.0	c12-replicate-2	890.0
pa	90.63412449619346	92.0	0.0	17.0	1318.0	898.0	0.0	c12-replicate-2	2233.0
pb1	34.02050405809483	32.0	0.0	784.0	1557.0	0.0	0.0	c12-replicate-2	2341.0
pb2	77.04143528406664	75.0	0.0	88.0	1748.0	505.0	0.0	c12-replicate-2	2341.0
ha	1465.2050991501417	984.0	0.0	0.0	36.0	872.0	857.0	c13-replicate-1	1765.0
mp	29414.506329113923	29507.0	0.0	0.0	0.0	0.0	1027.0	c13-replicate-1	1027.0
na	1318.725102319236	1372.0	0.0	0.0	1.0	259.0	1206.0	c13-replicate-1	1466.0
np	8034.316293929713	8324.0	0.0	0.0	0.0	21.0	1544.0	c13-replicate-1	1565.0
ns	53131.730337078654	58739.0	0.0	0.0	0.0	0.0	890.0	c13-replicate-1	890.0
pa	3311.720555306762	3164.0	0.0	0.0	0.0	13.0	2220.0	c13-replicate-1	2233.0
pb1	1208.4848355403674	1239.0	0.0	0.0	0.0	559.0	1782.0	c13-replicate-1	2341.0
pb2	1828.8526270824432	1882.0	0.0	0.0	16.0	183.0	2142.0	c13-replicate-1	2341.0
ha	715.6050991501417	417.0	0.0	5.0	63.0	1110.0	587.0	c13-replicate-2	1765.0
mp	17467.451801363193	16814.0	0.0	0.0	0.0	0.0	1027.0	c13-replicate-2	1027.0
na	2548.3587994542972	2522.5	0.0	0.0	0.0	87.0	1379.0	c13-replicate-2	1466.0
np	8413.578274760383	8718.0	0.0	0.0	0.0	18.0	1547.0	c13-replicate-2	1565.0
ns	26993.62808988764	29695.5	0.0	0.0	0.0	0.0	890.0	c13-replicate-2	890.0
pa	2409.1249440214956	933.0	0.0	0.0	0.0	1245.0	988.0	c13-replicate-2	2233.0
pb1	716.5181546347715	755.0	0.0	0.0	21.0	2231.0	89.0	c13-replicate-2	2341.0
pb2	802.8329773601025	843.0	0.0	1.0	33.0	1728.0	579.0	c13-replicate-2	2341.0
ha	651.5529745042493	554.0	0.0	0.0	49.0	1432.0	284.0	c14-replicate-1	1765.0
mp	29447.094449853943	30145.0	0.0	0.0	0.0	0.0	1027.0	c14-replicate-1	1027.0
na	1476.5845839017736	1423.0	0.0	0.0	3.0	198.0	1265.0	c14-replicate-1	1466.0
np	5602.408306709265	5717.0	0.0	0.0	0.0	27.0	1538.0	c14-replicate-1	1565.0
ns	36431.46966292135	39109.5	0.0	0.0	0.0	0.0	890.0	c14-replicate-1	890.0
pa	813.8952082400358	675.0	0.0	0.0	0.0	1581.0	652.0	c14-replicate-1	2233.0
pb1	232.35753951302863	235.0	0.0	12.0	129.0	2200.0	0.0	c14-replicate-1	2341.0
pb2	874.2058949167023	950.0	0.0	0.0	21.0	1373.0	947.0	c14-replicate-1	2341.0
ha	703.5637393767705	309.0	0.0	44.0	68.0	1071.0	582.0	c14-replicate-2	1765.0
mp	22826.657254138267	21782.0	0.0	0.0	0.0	0.0	1027.0	c14-replicate-2	1027.0
na	829.4399727148704	751.0	0.0	0.0	51.0	900.0	515.0	c14-replicate-2	1466.0
np	2306.1015974440893	2336.0	0.0	0.0	1.0	58.0	1506.0	c14-replicate-2	1565.0
ns	32943.425842696626	36364.5	0.0	0.0	0.0	0.0	890.0	c14-replicate-2	890.0
pa	687.1159874608151	234.0	0.0	0.0	90.0	1489.0	654.0	c14-replicate-2	2233.0
pb1	37.523280649295174	39.0	0.0	448.0	1893.0	0.0	0.0	c14-replicate-2	2341.0
pb2	265.3784707390004	273.0	0.0	35.0	159.0	2147.0	0.0	c14-replicate-2	2341.0
ha	658.0815864022663	665.0	0.0	1.0	52.0	1595.0	117.0	c15-replicate-1	1765.0
mp	34288.51217137293	35531.0	0.0	0.0	0.0	0.0	1027.0	c15-replicate-1	1027.0
na	1645.369031377899	1574.0	0.0	0.0	1.0	197.0	1268.0	c15-replicate-1	1466.0
np	6836.297124600639	7109.0	0.0	0.0	0.0	23.0	1542.0	c15-replicate-1	1565.0
ns	38925.11123595505	43130.5	0.0	0.0	0.0	0.0	890.0	c15-replicate-1	890.0
pa	1330.857142857143	1203.0	0.0	0.0	0.0	389.0	1844.0	c15-replicate-1	2233.0
pb1	581.5194361384024	633.0	0.0	0.0	37.0	2304.0	0.0	c15-replicate-1	2341.0
pb2	1123.630499786416	1152.0	0.0	0.0	20.0	711.0	1610.0	c15-replicate-1	2341.0
ha	263.6600566572238	233.0	0.0	49.0	95.0	1621.0	0.0	c15-replicate-2	1765.0
mp	13490.373904576436	13030.0	0.0	0.0	0.0	1.0	1026.0	c15-replicate-2	1027.0
na	299.15416098226467	284.0	0.0	10.0	70.0	1386.0	0.0	c15-replicate-2	1466.0
np	1711.0728434504792	1772.0	0.0	0.0	1.0	70.0	1494.0	c15-replicate-2	1565.0
ns	16457.76629213483	18318.0	0.0	0.0	0.0	1.0	889.0	c15-replicate-2	890.0
pa	420.0613524406628	148.0	0.0	6.0	271.0	1394.0	562.0	c15-replicate-2	2233.0
pb1	25.955574540794533	28.0	0.0	912.0	1429.0	0.0	0.0	c15-replicate-2	2341.0
pb2	215.84451089278087	193.0	0.0	9.0	166.0	2166.0	0.0	c15-replicate-2	2341.0
ha	706.2441926345609	508.0	0.0	0.0	56.0	1137.0	572.0	c16-replicate-1	1765.0
mp	32539.71275559883	33486.0	0.0	0.0	0.0	0.0	1027.0	c16-replicate-1	1027.0
na	1277.162346521146	1297.0	0.0	0.0	1.0	293.0	1172.0	c16-replicate-1	1466.0
np	5941.34249201278	6153.0	0.0	0.0	0.0	27.0	1538.0	c16-replicate-1	1565.0
ns	47300.32134831461	52471.5	0.0	0.0	0.0	0.0	890.0	c16-replicate-1	890.0
pa	1157.6569637259292	983.0	0.0	0.0	0.0	1151.0	1082.0	c16-replicate-1	2233.0
pb1	1096.440410081162	220.0	0.0	0.0	0.0	1941.0	400.0	c16-replicate-1	2341.0
pb2	860.5254164886801	818.0	0.0	0.0	1.0	1806.0	534.0	c16-replicate-1	2341.0
ha	24.575637393767707	23.0	1.0	1134.0	630.0	0.0	0.0	c16-replicate-2	1765.0
mp	22007.13242453749	21384.0	0.0	0.0	0.0	0.0	1027.0	c16-replicate-2	1027.0
na	527.5170532060027	250.0	0.0	0.0	67.0	1063.0	336.0	c16-replicate-2	1466.0
np	894.4888178913739	940.0	0.0	0.0	17.0	964.0	584.0	c16-replicate-2	1565.0
ns	43005.10112359551	48692.0	0.0	0.0	0.0	0.0	890.0	c16-replicate-2	890.0
pa	135.35244066278548	26.0	17.0	1016.0	987.0	78.0	135.0	c16-replicate-2	2233.0
pb1	1873.9337889790688	6.0	91.0	1810.0	0.0	3.0	437.0	c16-replicate-2	2341.0
pb2	977.6450234942332	34.0	0.0	632.0	1075.0	23.0	611.0	c16-replicate-2	2341.0
ha	1258.1518413597737	1323.0	0.0	0.0	1.0	345.0	1419.0	c17-replicate-1	1765.0
mp	31169.113924050635	31417.0	0.0	0.0	0.0	0.0	1027.0	c17-replicate-1	1027.0
na	1760.8431105047748	1770.0	0.0	0.0	1.0	176.0	1289.0	c17-replicate-1	1466.0
np	7738.391693290735	8152.0	0.0	0.0	0.0	19.0	1546.0	c17-replicate-1	1565.0
ns	50424.34943820225	55850.0	0.0	0.0	0.0	0.0	890.0	c17-replicate-1	890.0
pa	2115.3896103896104	2059.0	0.0	0.0	0.0	20.0	2213.0	c17-replicate-1	2233.0
pb1	479.97479709525845	489.0	0.0	0.0	10.0	2331.0	0.0	c17-replicate-1	2341.0
pb2	1742.1845365228537	1814.0	0.0	0.0	1.0	114.0	2226.0	c17-replicate-1	2341.0
ha	321.70368271954675	12.0	0.0	1077.0	7.0	486.0	195.0	c17-replicate-2	1765.0
mp	24320.58422590068	22743.0	0.0	0.0	0.0	0.0	1027.0	c17-replicate-2	1027.0
na	49.555934515688946	46.0	0.0	147.0	1258.0	61.0	0.0	c17-replicate-2	1466.0
np	307.2702875399361	310.0	0.0	11.0	25.0	1529.0	0.0	c17-replicate-2	1565.0
ns	53442.29775280899	58909.0	0.0	0.0	0.0	0.0	890.0	c17-replicate-2	890.0
pa	1030.6838334079714	30.0	18.0	1091.0	86.0	376.0	662.0	c17-replicate-2	2233.0
pb1	337.53353267834257	3.0	683.0	1032.0	229.0	53.0	344.0	c17-replicate-2	2341.0
pb2	500.6885946176848	6.0	0.0	1487.0	246.0	110.0	498.0	c17-replicate-2	2341.0
ha	110.92747875354108	106.0	0.0	78.0	666.0	1021.0	0.0	c18-replicate-1	1765.0
mp	1493.381694255112	1560.0	0.0	0.0	1.0	226.0	800.0	c18-replicate-1	1027.0
na	0.0	0.0	1466.0	0.0	0.0	0.0	0.0	c18-replicate-1	1466.0
np	279.8255591054313	292.0	0.0	10.0	36.0	1519.0	0.0	c18-replicate-1	1565.0
ns	2146.761797752809	2387.5	0.0	0.0	1.0	92.0	797.0	c18-replicate-1	890.0
pa	1.0891177787729511	1.0	992.0	1241.0	0.0	0.0	0.0	c18-replicate-1	2233.0
pb1	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	c18-replicate-1	2341.0
pb2	75.12387868432293	21.0	0.0	1611.0	246.0	484.0	0.0	c18-replicate-1	2341.0
ha	0.0	0.0	1765.0	0.0	0.0	0.0	0.0	c18-replicate-2	1765.0
mp	0.1441090555014605	0.0	879.0	148.0	0.0	0.0	0.0	c18-replicate-2	1027.0
na	0.0	0.0	1466.0	0.0	0.0	0.0	0.0	c18-replicate-2	1466.0
np	0.0	0.0	1565.0	0.0	0.0	0.0	0.0	c18-replicate-2	1565.0
ns	16449.88988764045	17656.0	0.0	0.0	0.0	1.0	889.0	c18-replicate-2	890.0
pa	0.0	0.0	2233.0	0.0	0.0	0.0	0.0	c18-replicate-2	2233.0
pb1	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	c18-replicate-2	2341.0
pb2	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	c18-replicate-2	2341.0
ha	238.66968838526913	239.0	0.0	16.0	116.0	1633.0	0.0	c19-replicate-2	1765.0
mp	4911.855890944498	4863.0	0.0	0.0	0.0	23.0	1004.0	c19-replicate-2	1027.0
na	49.75034106412006	44.0	0.0	152.0	1297.0	17.0	0.0	c19-replicate-2	1466.0
np	450.3361022364217	466.0	0.0	1.0	28.0	1536.0	0.0	c19-replicate-2	1565.0
ns	13477.51235955056	14680.0	0.0	0.0	0.0	5.0	885.0	c19-replicate-2	890.0
pa	41.66636811464398	39.0	0.0	133.0	2100.0	0.0	0.0	c19-replicate-2	2233.0
pb1	6.961127723195216	7.0	107.0	2234.0	0.0	0.0	0.0	c19-replicate-2	2341.0
pb2	52.951302862024775	53.0	0.0	217.0	2124.0	0.0	0.0	c19-replicate-2	2341.0
