segment	mean_coverage	median_coverage	0x	1-25x	25-100x	100-1000x	1000x+	sample_id	total_coverage
mp	48630.488802336906	47900.0	0.0	0.0	0.0	0.0	1027.0	c8-replicate-1	1027.0
na	4301.7435197817185	4263.0	0.0	0.0	0.0	57.0	1409.0	c8-replicate-1	1466.0
np	4291.215974440895	4564.0	0.0	0.0	0.0	30.0	1535.0	c8-replicate-1	1565.0
ns	45834.55280898877	52098.0	0.0	0.0	0.0	0.0	890.0	c8-replicate-1	890.0
pa	525.35960591133	507.0	0.0	0.0	13.0	2220.0	0.0	c8-replicate-1	2233.0
pb1	567.7061085006408	597.0	0.0	0.0	40.0	2301.0	0.0	c8-replicate-1	2341.0
pb2	1924.616403246476	1270.0	0.0	1.0	19.0	612.0	1709.0	c8-replicate-1	2341.0
ha	280.071388101983	18.0	29.0	1047.0	5.0	633.0	51.0	c8-replicate-2	1765.0
mp	18133.55598831548	17369.0	0.0	0.0	0.0	0.0	1027.0	c8-replicate-2	1027.0
na	189.93451568894952	187.0	0.0	17.0	140.0	1309.0	0.0	c8-replicate-2	1466.0
np	1510.376357827476	1569.0	0.0	0.0	1.0	82.0	1482.0	c8-replicate-2	1565.0
ns	40664.37415730337	46072.5	0.0	0.0	0.0	0.0	890.0	c8-replicate-2	890.0
pa	637.9108822212271	0.0	1349.0	133.0	0.0	81.0	670.0	c8-replicate-2	2233.0
pb1	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	c8-replicate-2	2341.0
pb2	111.13583938487824	115.0	0.0	108.0	794.0	1439.0	0.0	c8-replicate-2	2341.0
ha	3190.586402266289	1371.0	0.0	0.0	12.0	252.0	1501.0	c9-replicate-1	1765.0
mp	35623.39337877312	35509.0	0.0	0.0	0.0	0.0	1027.0	c9-replicate-1	1027.0
na	104.4024556616644	105.0	0.0	52.0	581.0	833.0	0.0	c9-replicate-1	1466.0
np	5171.429392971246	5492.0	0.0	0.0	0.0	31.0	1534.0	c9-replicate-1	1565.0
ns	40980.82696629214	46075.5	0.0	0.0	0.0	0.0	890.0	c9-replicate-1	890.0
pa	0.0	0.0	2233.0	0.0	0.0	0.0	0.0	c9-replicate-1	2233.0
pb1	352.5352413498505	374.0	0.0	0.0	61.0	2280.0	0.0	c9-replicate-1	2341.0
pb2	838.280222127296	888.0	0.0	0.0	23.0	1594.0	724.0	c9-replicate-1	2341.0
ha	527.3835694050991	0.0	1076.0	0.0	0.0	157.0	532.0	c9-replicate-2	1765.0
mp	19107.85783836417	18414.0	0.0	0.0	0.0	0.0	1027.0	c9-replicate-2	1027.0
na	802.8772169167803	778.0	0.0	0.0	20.0	1109.0	337.0	c9-replicate-2	1466.0
np	1356.5661341853036	1383.0	0.0	0.0	4.0	107.0	1454.0	c9-replicate-2	1565.0
ns	21286.89213483146	24075.0	0.0	0.0	0.0	1.0	889.0	c9-replicate-2	890.0
pa	239.14464845499327	232.0	0.0	7.0	36.0	2190.0	0.0	c9-replicate-2	2233.0
pb1	380.9525843656557	100.0	0.0	63.0	1140.0	776.0	362.0	c9-replicate-2	2341.0
pb2	15.99615548910722	0.0	2203.0	4.0	5.0	129.0	0.0	c9-replicate-2	2341.0
